step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	4.400000e+01	
100	1.000000e-01	2.805482e-02	1.382118e-02	4.397368e+01	
200	1.000000e-01	4.733183e-02	2.718668e-02	4.394702e+01	
300	1.000000e-01	6.684023e-02	4.052398e-02	4.392000e+01	
400	1.000000e-01	8.658588e-02	5.384573e-02	4.389263e+01	
500	1.000000e-01	1.065742e-01	6.716321e-02	4.386489e+01	
600	1.000000e-01	1.268103e-01	8.048665e-02	4.383678e+01	
700	1.000000e-01	1.472992e-01	9.382535e-02	4.380830e+01	
800	1.000000e-01	1.680458e-01	1.071877e-01	4.377943e+01	
900	1.000000e-01	1.890550e-01	1.205815e-01	4.375018e+01	
1000	1.000000e-01	2.103313e-01	1.340136e-01	4.372053e+01	
1100	1.000000e-01	2.318796e-01	1.474903e-01	4.369048e+01	
1200	1.000000e-01	2.537044e-01	1.610173e-01	4.366003e+01	
1300	1.000000e-01	2.758102e-01	1.745997e-01	4.362916e+01	
1400	1.000000e-01	2.982016e-01	1.882422e-01	4.359788e+01	
1500	1.000000e-01	3.208830e-01	2.019486e-01	4.356617e+01	
1600	1.000000e-01	3.438589e-01	2.157228e-01	4.353404e+01	
1700	1.000000e-01	3.671338e-01	2.295677e-01	4.350146e+01	
1800	1.000000e-01	3.907119e-01	2.434861e-01	4.346845e+01	
1900	1.000000e-01	4.145978e-01	2.574803e-01	4.343499e+01	
2000	1.000000e-01	4.387958e-01	2.715520e-01	4.340107e+01	
2100	1.000000e-01	4.633102e-01	2.857026e-01	4.336669e+01	
2200	1.000000e-01	4.881455e-01	2.999333e-01	4.333184e+01	
2300	1.000000e-01	5.133059e-01	3.142446e-01	4.329652e+01	
2400	1.000000e-01	5.387958e-01	3.286367e-01	4.326072e+01	
2500	1.000000e-01	5.646196e-01	3.431094e-01	4.322443e+01	
2600	1.000000e-01	5.907815e-01	3.576622e-01	4.318765e+01	
2700	1.000000e-01	6.172857e-01	3.722940e-01	4.315037e+01	
2800	1.000000e-01	6.441366e-01	3.870035e-01	4.311258e+01	
2900	1.000000e-01	6.713387e-01	4.017887e-01	4.307427e+01	
3000	1.000000e-01	6.988958e-01	4.166474e-01	4.303545e+01	
3100	1.000000e-01	7.268125e-01	4.315769e-01	4.299609e+01	
3200	1.000000e-01	7.550931e-01	4.465740e-01	4.295620e+01	
3300	1.000000e-01	7.837419e-01	4.616350e-01	4.291578e+01	
3400	1.000000e-01	8.127630e-01	4.767558e-01	4.287480e+01	
3500	1.000000e-01	8.421607e-01	4.919318e-01	4.283327e+01	
3600	1.000000e-01	8.719391e-01	5.071577e-01	4.279117e+01	
3700	1.000000e-01	9.021025e-01	5.224278e-01	4.274851e+01	
3800	1.000000e-01	9.326550e-01	5.377357e-01	4.270527e+01	
3900	1.000000e-01	9.636008e-01	5.530746e-01	4.266144e+01	
4000	1.000000e-01	9.949438e-01	5.684369e-01	4.261702e+01	
4100	1.000000e-01	1.026688e+00	5.838145e-01	4.257200e+01	
4200	1.000000e-01	1.058838e+00	5.991984e-01	4.252638e+01	
4300	1.000000e-01	1.091397e+00	6.145791e-01	4.248014e+01	
4400	1.000000e-01	1.124370e+00	6.299463e-01	4.243328e+01	
4500	1.000000e-01	1.157759e+00	6.452889e-01	4.238579e+01	
4600	1.000000e-01	1.191569e+00	6.605951e-01	4.233766e+01	
4700	1.000000e-01	1.225804e+00	6.758521e-01	4.228888e+01	
4800	1.000000e-01	1.260468e+00	6.910463e-01	4.223946e+01	
4900	1.000000e-01	1.295563e+00	7.061635e-01	4.218937e+01	
5000	1.000000e-01	1.331095e+00	7.211881e-01	4.213861e+01	
5100	1.000000e-01	1.367065e+00	7.361037e-01	4.208717e+01	
5200	1.000000e-01	1.403477e+00	7.508933e-01	4.203505e+01	
5300	1.000000e-01	1.440336e+00	7.655384e-01	4.198223e+01	
5400	1.000000e-01	1.477643e+00	7.800195e-01	4.192872e+01	
5500	1.000000e-01	1.515403e+00	7.943164e-01	4.187449e+01	
5600	1.000000e-01	1.553618e+00	8.084075e-01	4.181954e+01	
5700	1.000000e-01	1.592291e+00	8.222700e-01	4.176387e+01	
5800	1.000000e-01	1.631425e+00	8.358803e-01	4.170746e+01	
5900	1.000000e-01	1.671022e+00	8.492137e-01	4.165032e+01	
6000	1.000000e-01	1.711086e+00	8.622440e-01	4.159242e+01	
6100	1.000000e-01	1.751619e+00	8.749443e-01	4.153376e+01	
6200	1.000000e-01	1.792623e+00	8.872867e-01	4.147433e+01	
6300	1.000000e-01	1.834100e+00	8.992418e-01	4.141412e+01	
6400	1.000000e-01	1.876055e+00	9.107798e-01	4.135313e+01	
6500	1.000000e-01	1.918487e+00	9.218695e-01	4.129135e+01	
6600	1.000000e-01	1.961401e+00	9.324790e-01	4.122876e+01	
6700	1.000000e-01	2.004797e+00	9.425754e-01	4.116536e+01	
6800	1.000000e-01	2.048678e+00	9.521254e-01	4.110115e+01	
6900	1.000000e-01	2.093048e+00	9.610953e-01	4.103610e+01	
7000	1.000000e-01	2.137906e+00	9.694507e-01	4.097021e+01	
7100	1.000000e-01	2.183257e+00	9.771571e-01	4.090347e+01	
7200	1.000000e-01	2.229102e+00	9.841803e-01	4.083587e+01	
7300	1.000000e-01	2.275445e+00	9.904858e-01	4.076741e+01	
7400	1.000000e-01	2.322288e+00	9.960403e-01	4.069807e+01	
7500	1.000000e-01	2.369633e+00	1.000811e+00	4.062784e+01	
7600	1.000000e-01	2.417485e+00	1.004765e+00	4.055671e+01	
7700	1.000000e-01	2.465848e+00	1.007874e+00	4.048467e+01	
7800	1.000000e-01	2.514725e+00	1.010108e+00	4.041171e+01	
7900	1.000000e-01	2.564122e+00	1.011442e+00	4.033782e+01	
8000	1.000000e-01	2.614043e+00	1.011851e+00	4.026299e+01	
8100	1.000000e-01	2.664494e+00	1.011316e+00	4.018719e+01	
8200	1.000000e-01	2.715482e+00	1.009820e+00	4.011043e+01	
8300	1.000000e-01	2.767015e+00	1.007351e+00	4.003269e+01	
8400	1.000000e-01	2.819100e+00	1.003900e+00	3.995394e+01	
8500	1.000000e-01	2.871748e+00	9.994637e-01	3.987419e+01	
8600	1.000000e-01	2.924968e+00	9.940453e-01	3.979340e+01	
8700	1.000000e-01	2.978773e+00	9.876527e-01	3.971158e+01	
8800	1.000000e-01	3.033174e+00	9.803001e-01	3.962869e+01	
8900	1.000000e-01	3.088186e+00	9.720086e-01	3.954473e+01	
9000	1.000000e-01	3.143825e+00	9.628056e-01	3.945967e+01	
9100	1.000000e-01	3.200105e+00	9.527257e-01	3.937349e+01	
9200	1.000000e-01	3.257046e+00	9.418102e-01	3.928619e+01	
9300	1.000000e-01	3.314667e+00	9.301072e-01	3.919772e+01	
9400	1.000000e-01	3.372988e+00	9.176720e-01	3.910808e+01	
9500	1.000000e-01	3.432031e+00	9.045662e-01	3.901723e+01	
9600	1.000000e-01	3.491819e+00	8.908571e-01	3.892517e+01	
9700	1.000000e-01	3.552376e+00	8.766171e-01	3.883185e+01	
9800	1.000000e-01	3.613727e+00	8.619235e-01	3.873727e+01	
9900	1.000000e-01	3.675897e+00	8.468576e-01	3.864138e+01	
10000	1.000000e-01	3.738913e+00	8.315034e-01	3.854418e+01	
