step	cyano	ecw	
0	26	90	
100	26	93	
200	26	93	
300	26	93	
400	26	93	
500	26	93	
600	27	93	
700	27	93	
800	27	93	
900	27	93	
1000	27	93	
1100	28	93	
1200	28	93	
1300	28	93	
1400	28	93	
1500	28	93	
1600	28	93	
1700	28	93	
1800	28	93	
1900	28	93	
2000	28	93	
2100	28	93	
2200	28	93	
2300	28	93	
2400	28	93	
2500	30	93	
2600	30	93	
2700	31	93	
2800	31	93	
2900	31	93	
3000	32	93	
3100	32	93	
3200	32	93	
3300	32	93	
3400	33	93	
3500	33	93	
3600	34	93	
3700	34	93	
3800	34	93	
3900	36	93	
4000	36	93	
4100	36	93	
4200	36	93	
4300	36	93	
4400	36	93	
4500	37	93	
4600	39	95	
4700	41	100	
4800	41	103	
4900	41	105	
5000	42	107	
5100	42	111	
5200	42	118	
5300	42	121	
5400	42	124	
5500	43	134	
5600	43	140	
5700	44	149	
5800	45	155	
5900	45	159	
6000	45	161	
6100	45	165	
6200	45	170	
6300	47	170	
6400	49	177	
6500	49	179	
6600	50	181	
6700	51	182	
6800	51	186	
6900	53	188	
7000	53	198	
7100	53	208	
7200	53	220	
7300	53	229	
7400	54	240	
7500	55	251	
7600	55	261	
7700	56	274	
7800	57	283	
7900	62	295	
8000	62	312	
8100	63	323	
8200	64	334	
8300	65	340	
8400	65	351	
8500	67	359	
8600	68	375	
8700	69	390	
8800	71	399	
8900	71	409	
9000	71	420	
9100	72	441	
9200	73	459	
9300	73	483	
9400	74	495	
9500	76	514	
9600	78	532	
9700	80	550	
9800	81	567	
9900	81	590	
10000	81	609	
